Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Pages,Total_Duration,Avg_Time_Per_Page
0,0.0,0,0.0,6,1156.5,0.0,0.033333333,0.0,0.0,Nov,2,2,1,20,Returning_Visitor,False,False,6,1156.5,192.75
4,52.0,1,7.0,46,3087.0,0.003773585,0.021383648,16.94643793,0.0,Mar,2,2,3,8,Returning_Visitor,False,True,51,3146.0,61.68627450980392
4,106.5,0,0.0,12,806.25,0.0125,0.029166667,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False,16,912.75,57.046875
9,497.1666667,0,0.0,20,1170.166667,0.012121212,0.023484848,0.0,0.0,Nov,3,2,3,2,Returning_Visitor,False,False,29,1667.3333337,57.494252886206894
0,0.0,0,0.0,3,17.0,0.0,0.033333333,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False,3,17.0,5.666666666666667
0,0.0,0,0.0,12,363.0,0.016666667,0.047222222,0.0,0.0,Nov,4,1,4,2,Returning_Visitor,False,False,12,363.0,30.25
1,11.5,1,94.0,98,6212.779517,0.024162985,0.033991575,0.0,0.0,Nov,3,2,4,10,Returning_Visitor,True,False,100,6318.279517,63.18279517
9,174.2083333,2,383.75,151,9018.123741,0.012820513,0.02459296,0.0,0.0,Nov,1,2,1,1,Returning_Visitor,True,False,162,9576.0820743,59.11161774259259
0,0.0,0,0.0,9,165.0,0.0,0.022222222,0.0,1.0,May,2,2,4,4,Returning_Visitor,True,False,9,165.0,18.333333333333332
0,0.0,0,0.0,6,118.3333333,0.033333333,0.044444444,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,True,False,6,118.3333333,19.72222221666667
0,0.0,0,0.0,48,3025.333333,0.004166667,0.009375,0.0,0.0,Aug,1,1,1,20,Returning_Visitor,False,False,48,3025.333333,63.02777777083333
0,0.0,0,0.0,9,113.0,0.066666667,0.088888889,0.0,0.8,May,2,2,3,6,Returning_Visitor,False,False,9,113.0,12.555555555555555
9,164.5833333,1,0.0,76,3580.333333,0.004819277,0.020522088,12.20780052,0.0,Nov,4,1,1,1,Returning_Visitor,False,False,86,3744.9166663,43.54554263139535
1,0.0,0,0.0,55,2780.609524,0.019242424,0.045272727,9.137331307,0.0,Dec,2,2,8,3,Returning_Visitor,False,False,56,2780.609524,49.6537415
1,46.4,0,0.0,13,118.2666667,0.0,0.014285714,0.0,0.0,Jul,1,2,1,4,Returning_Visitor,True,False,14,164.6666667,11.761904764285715
3,80.625,1,54.0,11,314.25,0.037333333,0.042857143,0.0,0.0,Nov,3,2,2,13,Returning_Visitor,False,False,15,448.875,29.925
0,0.0,0,0.0,49,2259.047619,0.008163265,0.034693878,0.0,0.0,Nov,2,2,8,1,Returning_Visitor,False,False,49,2259.047619,46.10301263265306
2,7.0,0,0.0,27,559.4,0.014814815,0.030452675,0.0,0.0,Mar,2,4,4,3,Returning_Visitor,True,False,29,566.4,19.53103448275862
4,76.8,0,0.0,59,2050.292399,0.010055755,0.022337803,0.0,0.0,Jul,2,6,2,7,Returning_Visitor,False,False,63,2127.092399,33.76337141269841
0,0.0,0,0.0,12,584.3333333,0.0,0.023076923,12.58590538,0.0,Nov,2,2,3,8,Returning_Visitor,False,False,12,584.3333333,48.69444444166667
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,False,False,1,0.0,0.0
1,48.5,0,0.0,35,668.1,0.007843137,0.019117647,36.95500632,0.0,Nov,2,4,1,3,Returning_Visitor,False,True,36,716.6,19.905555555555555
0,0.0,0,0.0,10,490.5666667,0.02,0.035,0.0,0.0,June,3,2,2,1,Returning_Visitor,False,False,10,490.5666667,49.05666667
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,False,False,3,0.0,0.0
2,134.0,0,0.0,15,284.1,0.0,0.011764706,0.0,0.0,Nov,2,4,8,2,New_Visitor,False,False,17,418.1,24.594117647058823
0,0.0,0,0.0,3,52.5,0.0,0.083333333,0.0,0.0,Nov,1,1,9,2,Returning_Visitor,False,False,3,52.5,17.5
